Name,Status,Telephone,Email,Website,Emailed,Phoned,Received Date
ADAMS COUNTY,NO DATA,(937) 544-2633,adams@OhioSecretaryofState.gov,www.electionsonthe.net/oh/Adams,,,
ALLEN COUNTY,NO DATA,(419) 223-8530,allen@OhioSecretaryofState.gov ,www.allencountyohio.com/boe,,,
ASHLAND COUNTY,NO DATA,(419) 282-4224,ashland@OhioSecretaryofState.gov ,www.ashlandboe.com,,,
ASHTABULA COUNTY,NO DATA,(440) 576-6915,ashtabul@OhioSecretaryofState.gov ,www.electionsonthe.net/oh/ashtabula,,,
ATHENS COUNTY,NO DATA,(740) 592-3201,athens@OhioSecretaryofState.gov,electionsonthe.net/oh/Athens/,,,
AUGLAIZE COUNTY,NO DATA,(419) 739-6720,auglaize@OhioSecretaryofState.gov ,www2.auglaizecounty.org/departments/board-of-elections,,,
BELMONT COUNTY,NO DATA,(740) 526-0188,belmont@OhioSecretaryofState.gov,www.electionsonthe.net/oh/belmont,,,
BROWN COUNTY,NO DATA,(937) 378-3008,brown@OhioSecretaryofState.gov ,www.electionsonthe.net/Oh/Brown,,,
BUTLER COUNTY,COMPLETE,(513) 887-3700,butler@OhioSecretaryofState.gov ,www.butlercountyelections.org,03/09/2017 - Michael,,03/27/2017 - Michael
CARROLL COUNTY,NO DATA,(330) 627-2610,carroll@OhioSecretaryofState.gov,www.carrollcountyboe.com,,,
CHAMPAIGN COUNTY,NO DATA,(937) 484-1575,champaig@OhioSecretaryofState.gov ,www.electionsonthe.net/OH/CHAMPAIGN,,,
CLARK COUNTY,NO DATA,(937) 521-2120,elections@clarkcountyohio.gov ,www.electionsonthe.net/oh/clark,,,
CLERMONT COUNTY,NO DATA,(513) 732-7275,elections@clermontcountyohio.gov ,www.clermontelections.org,,,
CLINTON COUNTY,NO DATA,(937) 382-3537,vote4@cinci.rr.com,www.electionsonthe.net/Oh/Clinton,,,
COLUMBIANA COUNTY,NO DATA,(330) 424-1448,info@columbianaboe.org ,www.columbianaboe.org,,,
COSHOCTON COUNTY,NO DATA,(740) 622-1117,coshocto@OhioSecretaryofState.gov,www.coshoctoncounty.net/agency/boe/index.php,,,
CRAWFORD COUNTY,NO DATA,(419) 562-8721,crawford@OhioSecretaryofState.gov ,sites.google.com/site/crawfordboe/home,,,
CUYAHOGA COUNTY,NO DATA,(216) 443-3200,electioninfo@cuyahogacounty.us ,boe.cuyahogacounty.us,,,
DARKE COUNTY,NO DATA,(937) 548-1835,darke@OhioSecretaryofState.gov ,www.electionsonthe.net/oh/Darke,,,
DEFIANCE COUNTY,NO DATA,(419) 782-8543,defiance@OhioSecretaryofState.gov,www.defiance-county.com/boardofelections,,,
DELAWARE COUNTY,NO DATA,(740) 833-2080,boe@co.delaware.oh.us ,www.co.delaware.oh.us/boe/,,,
ERIE COUNTY,NO DATA,(419) 627-7601,erie@OhioSecretaryofState.gov ,www.electionsonthe.net/oh/Erie,,,
FAIRFIELD COUNTY,NO DATA,(740) 652-7000 (614) 322-5270,fairfiel@OhioSecretaryofState.gov ,www.fairfieldelections.com,,,
FAYETTE COUNTY,NO DATA,(740) 335-1190,fayette@OhioSecretaryofState.gov ,www.electionsonthe.net/oh/fayette,,,
FRANKLIN COUNTY,NO DATA,(614) 525-3100,boe@franklincountyohio.gov ,vote.franklincountyohio.gov,,,
FULTON COUNTY,NO DATA,(419) 335-6841,fulton@OhioSecretaryofState.gov ,www.fultoncountyoh.com/boardofelections,,,
GALLIA COUNTY,NO DATA,(740) 446-1600,gallia@OhioSecretaryofState.gov,gallianet.net/index.php/gallia-county/board-of-elections/general-information,,,
GEAUGA COUNTY,NO DATA,(440) 279-2030,geauga@OhioSecretaryofState.gov ,www.co.geauga.oh.us/Departments/BOE/main.aspx,,,
GREENE COUNTY,NO DATA,(937) 562-6170,greene@OhioSecretaryofState.gov ,www.co.greene.oh.us/index.aspx?nid=128,03/09/2017 - Michael,,
GUERNSEY COUNTY,NO DATA,(740) 432-2680,guernsey@OhioSecretaryofState.gov ,sites.google.com/site/guernseycountyboe/Home,,,
